question,p,human_fraction,outcome,latency_s
toxicity,0.73,0.0,0,0.911
insult,0.43,0.0,0,0.911
threat,0.03,0.0,0,0.911
obscene,0.06,0.0,0,0.911
toxicity,0.48,0.0,0,0.914
insult,0.13,0.0,0,0.914
threat,0.01,0.0,0,0.914
obscene,0.03,0.0,0,0.914
toxicity,0.89,0.1666666716337204,0,0.953
insult,0.87,0.1666666716337204,0,0.953
threat,0.52,0.0,0,0.953
obscene,0.05,0.0,0,0.953
toxicity,0.28,0.0,0,0.959
insult,0.14,0.0,0,0.959
threat,0.01,0.0,0,0.959
obscene,0.03,0.0,0,0.959
toxicity,0.03,0.0,0,0.961
insult,0.02,0.0,0,0.961
threat,0.01,0.0,0,0.961
obscene,0.06,0.0,0,0.961
toxicity,0.21,0.0,0,0.973
insult,0.23,0.0,0,0.973
threat,0.01,0.0,0,0.973
obscene,0.03,0.0,0,0.973
toxicity,0.64,0.0,0,0.984
insult,0.87,0.0,0,0.984
threat,0.02,0.0,0,0.984
obscene,0.03,0.0,0,0.984
toxicity,0.26,0.0,0,0.897
insult,0.2,0.0,0,0.897
threat,0.06,0.0,0,0.897
obscene,0.03,0.0,0,0.897
toxicity,0.62,0.0,0,0.894
insult,0.38,0.0,0,0.894
threat,0.04,0.0,0,0.894
obscene,0.02,0.0,0,0.894
toxicity,0.47,0.0,0,0.885
insult,0.26,0.0,0,0.885
threat,0.02,0.0,0,0.885
obscene,0.02,0.0,0,0.885
toxicity,0.27,0.30000001192092896,0,0.983
insult,0.72,0.20000000298023224,0,0.983
threat,0.01,0.0,0,0.983
obscene,0.03,0.0,0,0.983
toxicity,0.19,0.0,0,0.915
insult,0.08,0.0,0,0.915
threat,0.02,0.0,0,0.915
obscene,0.02,0.0,0,0.915
toxicity,0.23,0.20000000298023224,0,1.033
insult,0.39,0.20000000298023224,0,1.033
threat,0.01,0.0,0,1.033
obscene,0.03,0.0,0,1.033
toxicity,0.34,0.0,0,2.018
insult,0.2,0.0,0,2.018
threat,0.02,0.0,0,2.018
obscene,0.03,0.0,0,2.018
toxicity,0.32,0.1666666716337204,0,1.259
insult,0.17,0.1666666716337204,0,1.259
threat,0.05,0.0,0,1.259
obscene,0.03,0.0,0,1.259
toxicity,0.97,0.6714285612106323,1,0.905
insult,0.99,0.5857142806053162,1,0.905
threat,0.06,0.014285714365541935,0,0.905
obscene,0.97,0.4285714328289032,0,0.905
toxicity,0.11,0.0,0,0.871
insult,0.21,0.0,0,0.871
threat,0.03,0.0,0,0.871
obscene,0.02,0.0,0,0.871
toxicity,0.43,0.20000000298023224,0,0.941
insult,0.69,0.10000000149011612,0,0.941
threat,0.03,0.10000000149011612,0,0.941
obscene,0.04,0.10000000149011612,0,0.941
toxicity,0.44,0.0,0,0.933
insult,0.36,0.0,0,0.933
threat,0.01,0.0,0,0.933
obscene,0.02,0.0,0,0.933
toxicity,0.79,0.1666666716337204,0,0.909
insult,0.83,0.1666666716337204,0,0.909
threat,0.05,0.0,0,0.909
obscene,0.2,0.1666666716337204,0,0.909
toxicity,0.55,0.1666666716337204,0,0.99
insult,0.93,0.0,0,0.99
threat,0.08,0.1666666716337204,0,0.99
obscene,0.14,0.0,0,0.99
toxicity,0.36,0.0,0,1.081
insult,0.68,0.0,0,1.081
threat,0.02,0.0,0,1.081
obscene,0.05,0.0,0,1.081
toxicity,0.54,0.0,0,0.953
insult,0.93,0.0,0,0.953
threat,0.02,0.0,0,0.953
obscene,0.06,0.0,0,0.953
toxicity,0.13,0.0,0,0.932
insult,0.06,0.0,0,0.932
threat,0.01,0.0,0,0.932
obscene,0.02,0.0,0,0.932
toxicity,0.36,0.1666666716337204,0,0.916
insult,0.66,0.1666666716337204,0,0.916
threat,0.01,0.0,0,0.916
obscene,0.02,0.0,0,0.916
toxicity,0.38,0.0,0,0.947
insult,0.15,0.0,0,0.947
threat,0.01,0.0,0,0.947
obscene,0.1,0.0,0,0.947
toxicity,0.78,0.0,0,1.004
insult,0.84,0.0,0,1.004
threat,0.07,0.0,0,1.004
obscene,0.03,0.0,0,1.004
toxicity,0.1,0.1666666716337204,0,0.907
insult,0.06,0.0,0,0.907
threat,0.01,0.1666666716337204,0,0.907
obscene,0.02,0.0,0,0.907
toxicity,0.68,0.0,0,1.235
insult,0.71,0.0,0,1.235
threat,0.02,0.0,0,1.235
obscene,0.04,0.0,0,1.235
toxicity,0.45,0.6000000238418579,1,0.925
insult,0.48,0.6000000238418579,1,0.925
threat,0.02,0.0,0,0.925
obscene,0.08,0.0,0,0.925
toxicity,0.54,0.0,0,0.974
insult,0.78,0.0,0,0.974
threat,0.02,0.0,0,0.974
obscene,0.04,0.0,0,0.974
toxicity,0.82,0.20000000298023224,0,0.93
insult,0.95,0.20000000298023224,0,0.93
threat,0.03,0.0,0,0.93
obscene,0.05,0.0,0,0.93
toxicity,0.22,0.0,0,0.952
insult,0.26,0.0,0,0.952
threat,0.02,0.0,0,0.952
obscene,0.05,0.0,0,0.952
toxicity,0.51,0.0,0,0.961
insult,0.65,0.0,0,0.961
threat,0.02,0.0,0,0.961
obscene,0.02,0.0,0,0.961
toxicity,0.5,0.0,0,0.941
insult,0.68,0.0,0,0.941
threat,0.04,0.0,0,0.941
obscene,0.03,0.0,0,0.941
toxicity,0.28,0.0,0,0.887
