bucket,n,jev_said,actually_was,human_agreement,gap
0.0-0.1,666,0.03839339339339339,0.0015015015015015015,0.01955123796538861,-0.03689189189189189
0.1-0.2,133,0.1369924812030075,0.022556390977443608,0.09717778746682898,-0.11443609022556389
0.2-0.3,91,0.24879120879120875,0.06593406593406594,0.1461399515251537,-0.18285714285714283
0.3-0.4,99,0.35232323232323237,0.1414141414141414,0.19514174479050467,-0.21090909090909096
0.4-0.5,77,0.4435064935064935,0.15584415584415584,0.24077865186256248,-0.2876623376623377
0.5-0.6,77,0.5531168831168831,0.3116883116883117,0.32474041909172935,-0.24142857142857144
0.6-0.7,63,0.6577777777777779,0.4444444444444444,0.40218883634559693,-0.21333333333333349
0.7-0.8,99,0.7518181818181817,0.45454545454545453,0.42472322781880695,-0.2972727272727272
0.8-0.9,142,0.8496478873239437,0.47183098591549294,0.43463434163533465,-0.37781690140845076
0.9-1.0,153,0.943202614379085,0.6993464052287581,0.5957989169199482,-0.2438562091503269
