bucket,n,jev_said,actually_was,human_agreement,gap
0.0-0.1,831,0.03299638989169675,0.0024067388688327317,0.007100294293694548,-0.03058965102286402
0.1-0.2,137,0.1396350364963504,0.0,0.026676649356899906,-0.1396350364963504
0.2-0.3,153,0.244640522875817,0.0,0.04147613546476255,-0.244640522875817
0.3-0.4,77,0.3488311688311688,0.012987012987012988,0.057370701006480625,-0.33584415584415583
0.4-0.5,88,0.4460227272727273,0.045454545454545456,0.07384414136917754,-0.4005681818181818
0.5-0.6,73,0.5524657534246576,0.0684931506849315,0.10772450707138401,-0.48397260273972614
0.6-0.7,69,0.6592753623188407,0.057971014492753624,0.11726610934820728,-0.601304347826087
0.7-0.8,58,0.7570689655172413,0.13793103448275862,0.1770337027465475,-0.6191379310344827
0.8-0.9,65,0.8476923076923076,0.12307692307692308,0.18754043120604294,-0.7246153846153846
0.9-1.0,49,0.9351020408163265,0.2857142857142857,0.3048611108441742,-0.6493877551020408
