question,p,human_fraction,outcome,latency_s
toxicity,0.78,0.8615384697914124,1,0.965
insult,0.98,0.8769230842590332,1,0.965
threat,0.02,0.0,0,0.965
obscene,0.15,0.3076923191547394,0,0.965
toxicity,0.69,0.6000000238418579,1,0.966
insult,0.94,0.5,1,0.966
threat,0.02,0.0,0,0.966
obscene,0.05,0.0,0,0.966
toxicity,0.75,0.5394737124443054,1,0.976
insult,0.95,0.5394737124443054,1,0.976
threat,0.03,0.0,0,0.976
obscene,0.06,0.06578947603702545,0,0.976
toxicity,0.74,0.30000001192092896,0,0.992
insult,0.93,0.30000001192092896,0,0.992
threat,0.05,0.0,0,0.992
obscene,0.07,0.0,0,0.992
toxicity,0.07,0.0,0,1.033
insult,0.02,0.0,0,1.033
threat,0.01,0.0,0,1.033
obscene,0.02,0.0,0,1.033
toxicity,0.6,0.699999988079071,1,1.036
insult,0.89,0.6000000238418579,1,1.036
threat,0.02,0.10000000149011612,0,1.036
obscene,0.22,0.4000000059604645,0,1.036
toxicity,0.93,0.800000011920929,1,1.036
insult,0.91,0.699999988079071,1,1.036
threat,0.05,0.0,0,1.036
obscene,0.08,0.0,0,1.036
toxicity,0.2,0.0,0,1.063
insult,0.32,0.0,0,1.063
threat,0.04,0.0,0,1.063
obscene,0.04,0.0,0,1.063
toxicity,0.22,0.30000001192092896,0,0.876
insult,0.14,0.10000000149011612,0,0.876
threat,0.02,0.0,0,0.876
obscene,0.12,0.30000001192092896,0,0.876
toxicity,0.29,0.0,0,0.956
insult,0.24,0.0,0,0.956
threat,0.01,0.0,0,0.956
obscene,0.02,0.0,0,0.956
toxicity,0.71,0.1666666716337204,0,0.947
insult,0.84,0.1666666716337204,0,0.947
threat,0.05,0.1666666716337204,0,0.947
obscene,0.05,0.1666666716337204,0,0.947
toxicity,0.8,0.737500011920929,1,0.92
insult,0.77,0.5625,1,0.92
threat,0.19,0.05000000074505806,0,0.92
obscene,0.26,0.5874999761581421,1,0.92
toxicity,0.95,0.800000011920929,1,0.972
insult,0.81,0.0,0,0.972
threat,0.97,0.800000011920929,1,0.972
obscene,0.06,0.0,0,0.972
toxicity,0.25,0.20000000298023224,0,1.015
insult,0.14,0.0,0,1.015
threat,0.02,0.0,0,1.015
obscene,0.03,0.0,0,1.015
toxicity,0.29,0.1666666716337204,0,0.943
insult,0.36,0.1666666716337204,0,0.943
threat,0.02,0.0,0,0.943
obscene,0.23,0.1666666716337204,0,0.943
toxicity,0.77,0.5,1,0.981
insult,0.96,0.6000000238418579,1,0.981
