question,p,human_fraction,outcome,latency_s
toxicity,0.61,0.0,0,0.92
insult,0.83,0.0,0,0.92
threat,0.02,0.0,0,0.92
obscene,0.03,0.0,0,0.92
toxicity,0.27,0.0,0,0.918
insult,0.11,0.0,0,0.918
threat,0.01,0.0,0,0.918
obscene,0.03,0.0,0,0.918
toxicity,0.21,0.0,0,0.931
insult,0.1,0.0,0,0.931
threat,0.01,0.0,0,0.931
obscene,0.02,0.0,0,0.931
toxicity,0.15,0.0,0,0.958
insult,0.16,0.0,0,0.958
threat,0.01,0.0,0,0.958
obscene,0.02,0.0,0,0.958
toxicity,0.78,0.1666666716337204,0,1.0
insult,0.72,0.1666666716337204,0,1.0
threat,0.46,0.0,0,1.0
obscene,0.05,0.0,0,1.0
toxicity,0.19,0.0,0,1.035
insult,0.21,0.0,0,1.035
threat,0.02,0.0,0,1.035
obscene,0.02,0.0,0,1.035
toxicity,0.64,0.0,0,1.218
insult,0.21,0.0,0,1.218
threat,0.03,0.0,0,1.218
obscene,0.05,0.0,0,1.218
toxicity,0.02,0.0,0,1.59
insult,0.02,0.0,0,1.59
threat,0.01,0.0,0,1.59
obscene,0.04,0.0,0,1.59
toxicity,0.2,0.1666666716337204,0,0.871
insult,0.13,0.1666666716337204,0,0.871
threat,0.05,0.0,0,0.871
obscene,0.02,0.0,0,0.871
toxicity,0.22,0.30000001192092896,0,0.972
insult,0.5,0.20000000298023224,0,0.972
threat,0.01,0.0,0,0.972
obscene,0.02,0.0,0,0.972
toxicity,0.2,0.20000000298023224,0,0.934
insult,0.34,0.20000000298023224,0,0.934
threat,0.01,0.0,0,0.934
obscene,0.02,0.0,0,0.934
toxicity,0.19,0.0,0,0.976
insult,0.11,0.0,0,0.976
threat,0.04,0.0,0,0.976
obscene,0.02,0.0,0,0.976
toxicity,0.44,0.0,0,0.923
insult,0.14,0.0,0,0.923
threat,0.03,0.0,0,0.923
obscene,0.02,0.0,0,0.923
toxicity,0.34,0.0,0,0.911
insult,0.12,0.0,0,0.911
threat,0.01,0.0,0,0.911
obscene,0.02,0.0,0,0.911
toxicity,0.12,0.0,0,0.883
insult,0.06,0.0,0,0.883
threat,0.01,0.0,0,0.883
obscene,0.02,0.0,0,0.883
toxicity,0.32,0.20000000298023224,0,0.902
insult,0.68,0.10000000149011612,0,0.902
threat,0.02,0.10000000149011612,0,0.902
obscene,0.03,0.10000000149011612,0,0.902
toxicity,0.23,0.0,0,0.897
insult,0.23,0.0,0,0.897
threat,0.01,0.0,0,0.897
obscene,0.02,0.0,0,0.897
toxicity,0.98,0.6714285612106323,1,1.008
insult,0.97,0.5857142806053162,1,1.008
threat,0.03,0.014285714365541935,0,1.008
obscene,0.96,0.4285714328289032,0,1.008
toxicity,0.08,0.0,0,0.916
insult,0.09,0.0,0,0.916
threat,0.02,0.0,0,0.916
obscene,0.01,0.0,0,0.916
toxicity,0.27,0.0,0,0.912
insult,0.28,0.0,0,0.912
threat,0.02,0.0,0,0.912
obscene,0.04,0.0,0,0.912
toxicity,0.62,0.1666666716337204,0,0.926
insult,0.76,0.1666666716337204,0,0.926
threat,0.04,0.0,0,0.926
obscene,0.2,0.1666666716337204,0,0.926
toxicity,0.53,0.1666666716337204,0,0.947
insult,0.92,0.0,0,0.947
threat,0.05,0.1666666716337204,0,0.947
obscene,0.15,0.0,0,0.947
toxicity,0.58,0.0,0,0.907
insult,0.93,0.0,0,0.907
threat,0.02,0.0,0,0.907
obscene,0.05,0.0,0,0.907
toxicity,0.09,0.0,0,0.907
insult,0.04,0.0,0,0.907
threat,0.01,0.0,0,0.907
obscene,0.02,0.0,0,0.907
toxicity,0.06,0.1666666716337204,0,0.882
