bucket,n,jev_said,actually_was,human_agreement,gap
0.0-0.1,890,0.02789887640449439,0.0022471910112359553,0.00790300890803337,-0.025651685393258433
0.1-0.2,217,0.14382488479262673,0.0,0.031550081493976756,-0.14382488479262673
0.2-0.3,148,0.24648648648648652,0.02702702702702703,0.06676456645584188,-0.2194594594594595
0.3-0.4,78,0.3466666666666667,0.05128205128205128,0.08587781994197613,-0.2953846153846154
0.4-0.5,61,0.44147540983606565,0.03278688524590164,0.08510929138445464,-0.408688524590164
0.5-0.6,53,0.5558490566037735,0.05660377358490566,0.136946606045624,-0.49924528301886784
0.6-0.7,41,0.6548780487804878,0.12195121951219512,0.18619072346425639,-0.5329268292682927
0.7-0.8,40,0.75225,0.1,0.17627659998834133,-0.65225
0.8-0.9,48,0.8404166666666666,0.2916666666666667,0.29492726813380915,-0.5487499999999998
0.9-1.0,24,0.9362499999999999,0.3333333333333333,0.3507229005917907,-0.6029166666666665
